date,To,Ig,RH,P,WS,WD
2023-04-17 09:00:00,10.8,802.0,33.0,29.944,5.0,202.5
2023-04-17 10:00:00,11.8,898.0,30.0,29.918,7.0,270.0
2023-04-17 11:00:00,12.6,922.0,29.0,29.887,5.0,202.5
2023-04-17 12:00:00,13.6,874.0,28.0,29.835,5.0,202.5
2023-04-17 13:00:00,13.7,760.0,28.0,29.802,5.0,270.0
2023-04-17 14:00:00,14.2,583.0,26.0,29.774,4.0,292.5
2023-04-17 15:00:00,13.4,318.0,27.0,29.786,2.0,202.5
2023-04-17 16:00:00,8.8,97.0,47.0,29.811,11.0,45.0
2023-04-17 17:00:00,6.1,2.0,44.0,29.852,10.0,45.0
2023-04-17 18:00:00,4.2,0.0,53.0,29.9,4.0,45.0
2023-04-17 19:00:00,3.2,0.0,59.0,29.924,2.0,90.0
2023-04-17 20:00:00,2.3,0.0,61.0,29.924,2.0,67.5
2023-04-17 21:00:00,2.3,0.0,64.0,29.927,1.0,315.0
2023-04-17 22:00:00,1.0,0.0,68.0,29.916,0.0,315.0
2023-04-17 23:00:00,-0.3,0.0,70.0,29.911,2.0,315.0
2023-04-18 00:00:00,-0.4,0.0,69.0,29.898,2.0,337.5
2023-04-18 01:00:00,-1.7,0.0,72.0,29.881,1.0,0.0
2023-04-18 02:00:00,-4.3,0.0,79.0,29.87,1.0,315.0
2023-04-18 03:00:00,-2.7,0.0,73.0,29.87,1.0,337.5
2023-04-18 04:00:00,-4.5,0.0,77.0,29.885,0.0,315.0
2023-04-18 05:00:00,-4.4,5.0,80.0,29.915,1.0,315.0
2023-04-18 06:00:00,-1.0,156.0,76.0,29.933,3.0,315.0
2023-04-18 07:00:00,5.1,423.0,59.0,29.929,2.0,292.5
2023-04-18 08:00:00,9.3,636.0,31.0,29.921,1.0,292.5
